#OTUId	01.AV555	02.AV604	03.AV612	04.AV650	05.AV717	06.AV718	07.AV770	08.AV782.2	09.AV791	10.AV794	11.AV833	12.AV967	13.AV968	14.AV971	15.AV972	16.AV974	17.AV996	18.AV551	19.AV572	20.AV580	21.AV586	22.AV589	23.AV590	24.AV591	25.AV598	26.AV608	27.AV609	28.AV610	29.AV611	30.AV802	31.AV521	32.AV527	33.AV541	34.AV542	35.AV543	36.AV567	37.AV568	38.AV570	39.AV571	40.AV579	41.AV803	42.AV814	43.AV583	44.AV584	45.AV587	46.AV588	47.AV596	48.AV597	49.AV816	50.AV817	51.AV863	52.AV864	53.AV865	54.AV866	taxonomy
ASV_11	359	200	56	328	187	123	509	239	516	635	253	720	538	391	608	577	1222	420	198	371	184	309	243	238	275	192	181	324	202	96	209	93	113	120	145	285	260	155	131	267	203	634	202	369	346	231	96	130	403	418	378	436	241	540	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_102	87	231	396	247	161	281	253	86	469	193	434	308	367	753	376	520	277	8	263	81	175	136	142	50	150	152	187	125	51	166	247	137	55	145	103	145	90	43	278	81	123	97	129	182	251	242	93	180	42	140	59	157	144	163	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_224	116	184	272	84	108	238	21	21	31	13	271	2	12	124	199	17	0	30	88	51	111	137	118	69	50	39	139	163	83	82	0	43	118	81	45	46	47	46	96	16	83	60	13	28	108	59	72	56	0	16	25	5	69	29	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
ASV_1	371	316	86	165	5	236	501	158	501	396	568	541	494	221	500	423	543	653	511	540	251	851	980	501	279	215	262	372	197	310	289	425	563	371	485	418	509	466	574	400	610	867	263	564	707	435	331	276	427	918	488	481	428	462	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_152	286	175	446	328	187	625	196	135	9	1	449	1	1	3	101	6	3	30	383	87	252	159	246	35	92	1	132	372	317	269	174	42	320	34	146	80	95	6	468	4	101	81	1	0	37	129	157	144	0	3	0	0	2	1	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_520	133	222	261	121	176	101	50	20	67	29	360	0	12	137	141	125	20	54	594	49	327	315	245	93	235	169	433	471	176	141	178	446	133	313	216	160	147	146	366	62	194	158	130	55	247	475	233	296	3	20	19	7	24	50	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_113	88	94	22	48	1	63	145	56	140	134	129	151	150	89	127	117	150	158	150	127	89	253	260	167	72	58	62	105	57	87	83	104	157	108	157	134	142	123	138	93	181	213	74	103	188	130	67	81	124	244	136	128	91	111	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_422	0	67	0	40	46	0	3	157	56	10	0	0	24	23	0	122	6	0	125	0	186	7	192	351	210	1	44	26	174	36	184	99	32	141	94	243	430	22	213	365	2	481	461	4	156	14	33	32	119	1	1	15	101	2	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
ASV_428	96	112	117	121	188	93	67	74	68	68	153	2	47	216	275	142	46	76	153	97	146	168	151	85	83	163	254	268	93	81	181	140	86	140	115	200	104	82	160	108	96	115	53	5	46	165	83	144	25	49	20	29	65	77	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_25	89	224	93	64	6	7	456	42	108	336	93	90	272	150	116	230	2	1176	199	586	181	355	345	334	294	17	139	143	223	28	181	281	496	247	276	278	415	314	331	542	347	559	654	267	208	112	294	157	405	285	301	51	49	74	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_536	57	118	179	44	71	127	14	14	15	9	221	1	2	85	155	12	0	20	70	28	92	91	57	45	23	37	92	118	54	62	0	31	72	53	34	26	34	34	66	13	65	65	19	21	81	61	40	49	0	6	14	5	57	18	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
ASV_93	23	83	1	40	6	0	230	2	221	1	22	215	0	66	0	5	3	0	85	366	212	1106	38	492	417	524	479	410	188	249	129	363	10	76	122	126	170	78	67	285	20	1	536	414	50	152	61	50	1	181	338	232	48	486	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_440	20	47	9	11	4	1	93	9	15	62	15	18	39	31	23	48	1	233	38	102	55	79	61	67	52	5	36	35	24	8	50	58	96	39	52	67	59	61	56	147	74	100	141	51	33	33	58	27	93	58	58	17	5	18	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_705	48	89	168	41	45	125	13	4	21	1	160	0	4	51	120	12	4	13	44	17	63	84	57	28	38	39	78	96	67	35	0	21	45	60	24	33	20	22	68	14	51	55	8	12	61	45	34	20	0	10	10	1	33	15	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
ASV_1435	0	7	0	2	0	0	56	2	0	2	1	24	1	0	0	12	4	1	76	199	127	216	81	166	106	271	346	33	83	35	60	57	110	81	43	34	56	35	6	14	2	3	2	34	151	21	9	11	0	0	3	105	42	47	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
ASV_19	161	163	35	68	0	84	190	74	140	140	225	216	231	115	161	124	164	243	154	191	79	281	341	195	119	98	72	140	73	138	119	189	193	125	234	185	210	156	159	142	209	239	86	178	262	164	137	120	146	358	192	171	156	175	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_1247	55	11	90	41	40	65	7	36	4	4	104	0	7	12	52	5	3	81	6	12	50	52	37	16	14	6	23	19	3	29	9	13	53	7	10	24	14	4	23	25	67	24	0	24	45	74	97	48	1	0	0	0	22	3	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
ASV_177	6	96	85	232	94	84	96	106	6	0	41	0	2	9	286	90	2	20	151	94	106	90	104	62	80	1	68	116	93	120	76	70	207	105	140	80	91	79	98	54	55	27	1	24	64	40	54	93	17	2	59	21	70	55	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_2354	22	57	52	26	41	18	8	4	15	7	69	0	2	37	49	16	4	9	118	11	79	38	45	13	36	34	76	80	36	29	35	76	31	52	28	33	39	30	68	10	33	25	22	7	48	78	56	61	0	4	1	1	7	9	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_1049	37	68	128	33	37	87	14	4	19	4	125	0	6	53	80	6	1	20	46	24	59	60	44	30	19	22	47	85	39	43	0	22	42	29	14	14	22	20	42	9	45	31	11	13	67	32	30	19	1	7	2	6	38	16	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
ASV_327	113	77	196	123	81	304	76	35	6	0	134	0	0	1	43	4	1	7	114	24	71	52	68	10	43	0	56	105	115	81	56	10	85	14	41	25	55	2	150	1	49	27	0	0	7	34	46	72	0	2	0	0	3	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_269	4	31	0	13	4	0	71	0	71	0	6	82	2	21	0	2	0	1	29	114	70	420	12	177	138	187	156	144	80	99	32	127	3	20	34	42	59	34	31	105	5	0	192	129	10	61	21	30	1	64	138	68	12	167	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_2475	16	2	3	2	1	0	6	3	5	36	53	18	13	4	4	2	26	1	4	57	112	119	43	20	20	22	43	25	27	22	52	21	14	13	23	16	4	15	9	51	11	42	49	125	12	58	113	41	91	17	7	16	18	7	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;
ASV_772	48	102	177	50	54	112	12	2	19	3	149	0	2	65	126	8	2	16	51	28	54	81	74	32	27	34	66	101	39	45	0	25	43	43	25	20	28	26	52	13	42	33	9	21	56	34	26	25	0	13	6	1	26	20	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
ASV_845	0	28	0	16	18	0	0	35	20	4	0	0	3	16	0	47	1	0	28	1	50	7	67	115	82	0	9	7	55	15	48	61	14	38	37	80	143	6	74	140	0	145	139	1	53	1	18	17	37	1	1	3	31	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
ASV_185	12	8	0	13	24	6	174	15	12	3	82	58	45	4	19	128	250	0	86	198	63	8	2	9	138	14	62	75	11	3	86	113	86	251	105	35	90	59	63	395	22	81	209	162	78	54	83	83	11	1	36	221	42	8	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_266	38	88	165	105	66	115	68	20	156	87	145	97	125	231	155	152	90	0	80	23	52	40	33	15	44	61	64	55	20	75	79	49	14	50	43	40	28	17	97	20	39	27	32	51	73	84	33	75	11	54	20	56	62	45	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_1489	20	67	103	56	33	53	42	6	82	79	153	20	50	65	77	124	75	86	161	97	104	95	68	29	17	169	157	152	57	83	95	70	58	105	65	82	31	29	149	53	109	81	21	126	135	116	52	60	24	47	24	45	19	37	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_204	90	54	20	29	1	42	107	41	99	86	104	142	112	63	97	81	112	135	113	122	58	163	221	101	56	45	60	79	40	58	63	88	108	86	127	129	111	98	146	88	147	169	51	118	153	96	83	45	97	191	98	121	80	88	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_1651	24	39	8	13	7	3	20	23	38	11	37	0	13	109	34	48	39	6	34	33	79	92	14	55	56	213	100	54	92	27	46	48	67	17	18	26	12	12	64	129	97	115	112	89	67	44	32	56	322	27	122	131	104	201	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
ASV_1199	0	21	0	8	7	0	2	37	9	0	0	1	1	7	0	23	1	0	21	0	39	1	42	69	41	0	3	4	32	13	47	19	12	34	14	49	99	3	40	92	0	96	87	0	24	2	8	11	36	1	0	6	16	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
ASV_101	9	8	2	19	44	14	188	24	6	5	98	75	46	5	19	150	272	1	93	271	68	3	1	7	163	16	78	73	7	8	145	155	106	297	113	55	94	77	81	451	24	83	248	210	84	63	108	81	3	2	43	175	40	12	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_264	3	8	0	14	22	7	146	26	5	1	80	46	40	3	7	117	219	0	51	163	52	4	1	2	111	8	57	61	6	5	99	110	69	216	76	34	68	46	46	270	23	63	172	152	68	52	57	56	5	0	31	144	33	8	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_538	25	46	83	78	45	66	67	20	126	58	115	71	81	191	72	109	65	1	68	18	38	33	30	8	36	51	53	28	17	46	65	39	14	34	19	31	17	7	64	19	37	29	34	44	59	42	39	24	7	25	17	58	38	34	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_541	21	43	23	12	7	4	77	9	19	60	15	13	37	31	25	43	0	219	37	120	46	82	59	55	61	2	19	23	32	3	44	50	82	55	35	54	59	45	64	101	66	97	115	40	24	21	45	15	57	54	43	8	9	18	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_726	70	6	142	65	59	107	8	40	14	6	119	0	5	7	82	14	3	115	6	19	66	50	48	29	32	6	21	25	13	53	17	13	63	11	18	34	13	5	32	21	99	39	0	44	45	76	101	79	1	0	0	0	31	8	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
ASV_711	13	52	101	65	44	44	31	5	68	54	111	27	38	59	81	98	60	45	134	102	118	102	72	41	96	127	121	142	71	90	72	59	55	81	56	54	15	34	127	60	114	68	86	176	160	137	73	127	14	29	34	143	131	88	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_346	29	58	135	66	45	84	62	21	137	63	98	87	97	218	108	164	63	2	58	25	43	39	42	9	37	45	64	30	15	50	55	53	18	48	34	37	19	12	65	28	33	30	34	52	68	82	28	45	6	39	13	35	48	40	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_1777	0	0	3	3	1	0	3	48	27	11	2	62	8	53	17	12	120	2	11	4	149	37	1	9	12	0	8	2	16	3	9	24	8	26	5	6	21	64	36	161	19	2	313	18	143	22	35	6	4	51	3	571	7	54	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_986	0	22	1	25	12	0	0	53	23	1	0	0	10	6	0	30	3	0	39	1	64	2	50	96	76	0	20	3	55	8	55	39	12	39	36	60	119	7	73	121	2	146	142	2	43	9	7	6	42	2	1	4	21	1	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
ASV_1382	42	76	69	43	63	35	29	4	16	13	98	0	5	53	51	33	10	10	164	15	103	88	67	28	64	55	132	130	59	44	66	131	31	84	64	43	35	33	102	18	50	31	32	8	61	132	59	105	1	7	7	3	10	15	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_2448	13	32	10	17	14	9	19	7	18	60	22	71	84	227	32	16	37	21	29	87	79	86	37	37	34	45	24	54	59	54	42	38	64	46	25	31	38	42	27	32	75	32	159	128	33	35	33	42	74	43	81	28	61	83	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;
ASV_1181	30	33	23	36	58	25	17	16	16	27	31	0	11	49	55	56	12	17	37	23	48	35	21	25	31	49	54	61	20	25	50	32	22	38	39	43	23	16	28	21	29	25	18	0	13	54	24	30	8	12	9	10	15	20	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_730	20	45	49	68	38	50	57	7	158	73	44	38	92	74	85	68	25	74	225	96	84	130	103	8	64	118	165	66	39	142	137	90	48	178	103	121	25	43	72	84	166	125	156	94	187	136	45	239	71	49	25	86	87	79	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_686	74	91	17	3	11	5	25	11	10	6	102	45	68	1	18	55	50	59	29	15	36	38	93	13	8	21	60	95	63	43	29	17	28	31	11	7	29	22	35	4	33	42	14	3	28	68	58	59	20	82	26	2	24	15	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium IV;
ASV_659	5	18	0	9	3	0	58	0	50	1	10	67	0	18	0	0	1	0	14	95	72	289	7	109	124	148	111	93	48	70	29	81	3	14	30	22	36	13	15	73	2	0	148	114	14	33	18	18	0	49	89	56	19	115	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_985	52	11	122	55	56	128	1	29	12	5	91	1	6	6	70	7	2	74	3	17	48	41	43	19	20	1	19	21	10	43	13	9	48	7	11	40	9	2	22	21	57	23	0	25	37	57	74	71	0	0	0	0	23	4	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
ASV_477	125	16	178	73	97	149	9	30	16	5	147	1	7	11	85	24	3	136	5	22	69	63	82	30	46	0	28	35	16	73	29	8	77	5	18	41	16	8	35	38	118	47	0	39	58	130	121	120	0	0	0	0	28	9	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
ASV_1369	0	21	0	8	10	0	1	30	12	3	0	0	4	5	0	15	0	0	34	0	52	5	38	81	62	0	7	4	38	4	50	28	11	30	28	63	101	7	49	77	2	94	104	2	23	5	12	5	32	0	0	4	27	3	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
ASV_201	40	59	25	16	4	2	124	8	30	96	34	23	62	59	30	52	2	336	56	155	50	99	86	112	75	4	24	53	54	9	54	86	121	78	79	101	95	94	105	184	109	160	173	76	61	29	75	35	111	65	94	12	13	30	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_373	5	1	0	16	23	3	115	12	5	2	77	57	36	2	12	83	168	0	43	134	44	3	1	3	121	12	40	48	1	6	82	87	66	165	57	33	54	47	32	270	19	36	143	110	67	31	58	72	11	0	21	124	27	6	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_207	10	4	0	4	0	2	39	19	124	12	14	155	274	265	101	139	66	1	9	13	35	60	10	51	200	395	180	11	45	9	91	11	6	70	40	2	1	0	79	28	54	28	283	85	88	1	8	4	93	435	148	176	21	130	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_1614	9	32	31	32	6	47	43	1	22	2	119	0	9	27	61	0	0	99	89	60	144	114	106	70	53	49	84	106	45	57	110	49	57	100	53	91	75	41	126	32	112	90	21	133	73	100	103	74	41	14	22	62	83	81	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_3560	15	30	47	21	29	16	14	4	12	5	60	0	5	27	24	12	6	8	100	6	46	43	49	13	24	39	73	80	33	19	17	54	19	39	22	33	30	17	40	8	22	25	18	7	41	70	31	44	0	2	3	0	9	10	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_1906	44	50	69	28	49	27	25	6	15	7	112	3	4	42	41	24	3	18	167	15	88	67	61	24	45	43	122	123	36	40	43	122	49	68	53	34	32	24	85	18	52	37	18	6	62	74	64	66	1	4	3	3	4	16	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_3071	0	0	0	1	0	0	0	11	10	2	1	13	2	19	8	1	36	0	1	4	55	7	1	0	1	0	1	1	7	0	3	8	3	14	0	5	4	12	1	42	5	1	108	6	48	7	11	3	6	19	3	205	0	27	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_483	5	2	1	10	18	3	112	8	4	2	57	51	36	3	8	86	151	0	48	110	56	7	0	4	64	5	50	43	1	4	67	74	55	152	75	27	36	37	30	228	11	44	115	96	61	30	45	36	3	2	12	129	27	4	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_170	94	54	10	91	51	33	128	81	154	162	82	191	157	91	145	162	346	91	61	72	50	93	58	82	88	48	57	107	50	23	64	19	34	31	37	76	66	35	29	63	34	160	60	80	90	61	27	47	93	120	107	125	70	144	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_5770	0	2	0	0	0	2	0	1	3	2	1	2	0	0	0	0	0	1	6	9	104	0	3	71	74	45	191	17	50	0	1	0	51	4	5	1	0	1	62	19	0	0	0	0	398	0	184	94	0	1	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_1317	0	93	93	8	19	67	45	3	58	41	192	11	17	42	54	35	15	320	90	43	104	91	19	19	31	13	50	26	12	62	137	112	58	166	63	103	48	51	233	23	173	92	51	32	89	76	73	87	3	1	9	10	7	9	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_399	67	28	7	65	46	36	89	56	79	123	53	144	123	79	133	115	221	78	39	81	45	63	49	51	44	44	37	51	29	14	43	12	18	19	39	57	55	17	23	58	39	134	50	55	57	63	34	32	68	79	77	96	59	102	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_611	97	53	115	90	64	192	70	36	3	0	128	0	0	0	21	0	1	12	125	27	61	39	79	13	24	1	44	108	97	74	31	10	103	13	34	22	49	3	118	2	36	22	0	0	13	29	45	50	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa;
ASV_386	55	49	15	21	1	32	77	22	76	79	84	84	94	29	66	79	81	83	71	93	48	138	150	88	47	27	25	51	34	45	60	55	92	52	76	68	93	63	79	74	113	137	35	92	112	63	49	40	55	153	74	69	60	82	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_1390	14	26	7	10	1	2	55	8	14	39	6	14	28	15	11	25	0	119	22	69	30	38	37	38	31	4	12	13	25	5	13	41	49	26	27	43	51	38	47	69	39	72	45	28	15	18	39	10	58	26	42	4	2	13	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_3290	4	7	5	6	6	8	5	1	11	20	14	22	23	77	4	9	15	12	8	26	33	27	11	21	21	13	8	13	22	14	18	12	25	10	8	13	20	15	10	4	17	8	51	60	13	8	13	24	24	13	33	10	23	34	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;
ASV_654	86	14	124	66	54	135	5	50	8	7	153	0	8	9	83	7	1	134	7	16	56	62	68	22	31	3	28	33	9	47	12	13	85	6	13	34	11	14	19	27	100	37	0	41	43	123	137	82	0	0	0	0	30	2	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
ASV_2971	5	8	0	7	0	0	44	1	40	0	5	29	1	7	0	1	0	0	21	74	56	180	4	89	83	101	95	75	35	45	25	53	2	16	24	18	23	14	9	65	4	0	114	79	7	24	9	11	0	24	50	42	8	79	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_701	6	3	0	2	0	0	21	10	74	9	4	123	199	155	56	68	46	2	1	9	24	34	3	37	159	225	113	2	23	11	43	12	5	49	24	4	2	0	28	25	33	18	163	65	50	1	8	0	58	250	91	73	13	71	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_1681	5	14	4	2	6	8	9	21	36	21	12	58	78	3	144	102	26	37	14	8	26	45	6	46	53	297	64	27	10	44	8	13	19	22	11	26	2	7	33	30	27	10	105	13	30	9	0	8	307	79	74	161	16	56	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
ASV_353	16	58	25	12	3	3	103	13	21	102	25	16	64	43	31	58	1	272	32	132	49	90	79	72	83	6	31	39	57	6	53	59	91	62	54	74	95	76	58	135	85	132	173	50	61	23	72	30	97	59	78	18	9	22	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_3925	0	0	0	0	0	0	0	8	9	1	0	12	6	10	1	4	23	0	1	2	32	6	1	2	3	0	1	1	3	0	5	4	1	9	0	3	4	11	6	44	3	0	68	5	29	6	9	4	2	16	3	181	0	15	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_411	202	55	319	202	50	52	166	12	184	9	205	0	0	80	104	4	10	481	263	180	90	16	7	6	9	1	0	2	0	6	406	97	129	190	352	242	86	63	410	54	168	239	1	0	29	35	117	52	1	1	1	2	4	6	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
ASV_1188	0	0	0	0	13	0	171	26	197	208	45	774	158	0	2	18	75	6	21	44	79	5	2	143	113	3	7	3	15	11	194	0	22	42	59	8	2	15	0	94	28	374	1	11	3	62	1	1	91	157	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
